,City,new
97,"Brooklyn
Brooklyn",[nan]
98,"Brooklyn
an/ll/lol/",[nan]
99,Brooklyn Heights,"['Brooklyn Heights', nan]"
100,Brooklyn NY,"[nan, nan, nan, nan]"
101,Brooklyn ny,[nan]
102,"Brooklyn, NY","[nan, nan]"
103,"Brooklyn, New York","[nan, 'Bedford-Stuyvesant']"
104,"Brooklyn, Prospect Heights",[nan]
105,"Brooklyn, new York",[nan]
106,Brooklyn/Williamsburg,[nan]
107,Brookyln,['Bushwick']
108,Brookyn,"[nan, nan, nan]"
109,Buena Park,['La Mirada']
110,Burbank,"['Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Sun Valley', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Sun Valley', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, nan, 'Burbank', 'Burbank', 'Burbank', nan, nan, 'Burbank', 'Burbank', 'Burbank', nan, nan, 'Glendale', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Sun Valley', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, nan, 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Sun Valley', 'Burbank', nan, nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Sun Valley', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', nan, 'Burbank', nan, 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', 'Burbank', 'Burbank', nan, 'Burbank', 'Burbank', 'Burbank', nan]"
111,"Burbank, Los Angeles",['Burbank']
112,Bushwick,"[nan, nan, nan, 'Ridgewood', nan, nan, 'Bushwick', nan, nan, nan, 'Ridgewood', 'Bushwick', 'Bushwick', nan, nan, nan]"
113,"Bushwick, Brooklyn","['Bushwick', 'Bushwick']"
114,"ByWater-Marigny, New Orleans","['Marigny/Bywater', 'Marigny/Bywater']"
115,Calabasas,"[nan, nan, nan, nan, nan, nan, nan, 'Topanga', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
116,California,[nan]
117,Calumet Park,[nan]
118,Cambria heights,"[nan, 'Jamaica']"
119,Cambridge,"[nan, nan, 'Cambridge', nan, 'Cambridge', nan, 'Cambridge', 'Cambridge', nan, 'Harvard Square', 'Harvard Square', 'Cambridge', nan, 'Cambridge', 'Somerville', 'Cambridge']"
120,Cane Ridge,[nan]
121,Canoga Park,"[nan, 'Woodland Hills/Warner Center', 'Winnetka', 'Canoga Park']"
122,Canoga park,[nan]
123,Canyon Country,"[nan, nan, nan]"
124,Canyon country,"[nan, nan, nan]"
125,Capitol Heights,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
126,"Capitol Hill, Washington",['Capitol Hill']
127,Capitola,"['Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', nan, 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', nan, 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', nan, 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', nan, 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', nan, 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', 'Santa Cruz', nan, 'Santa Cruz', 'Santa Cruz']"
128,Carroll Gardens,[nan]
129,"Carroll Gardens,Brooklyn, NYC",['Carroll Gardens']
130,Carson,"[nan, nan, nan, 'Carson', 'Carson', 'Carson', nan, 'Carson', 'Carson', 'Carson', nan, 'Carson', nan, 'Carson', 'Carson', 'Carson', 'Carson', nan, 'Carson', 'Carson', 'Carson', nan, 'Carson', 'Carson', 'Carson', 'Carson', 'Carson', nan, 'Carson', nan, 'Carson', nan, 'Carson', nan, nan, 'Carson', 'Carson', 'Carson', 'Carson', nan, 'Carson', nan, nan, nan, 'Carson', nan]"
131,Castaic,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
132,Cerritos,"['Cerritos', 'Cerritos', nan, nan, nan, 'Cerritos', nan, nan, 'Cerritos', 'Cerritos', nan, 'Cerritos', 'Cerritos', 'Cerritos', 'Cerritos', nan, nan, nan, 'Cerritos', 'Cerritos', nan, 'Cerritos', 'Cerritos', 'Cerritos', nan, nan, 'Cerritos']"
133,Charlestown,"['Charlestown', 'Charlestown', 'Charlestown', 'Charlestown', nan, 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown']"
134,Chatsworth,"['Chatsworth', 'Chatsworth', 'Chatsworth']"
135,"Chelsea, New York",['Chelsea']
136,Chevy Chase,"['Chevy Chase, MD']"
137,Chicag,[nan]
